codigo_estacion,nombre_estacion,fecha,pm25
3,GIR-SOSN,2022-03-16,27.6271
12,CEN-TRAF,2021-10-12,122.45
12,CEN-TRAF,2021-10-13,29.125
12,CEN-TRAF,2021-10-14,27.583333333333332
12,CEN-TRAF,2021-10-15,35.541666666666664
12,CEN-TRAF,2021-10-16,32.833333333333336
12,CEN-TRAF,2021-10-17,20.833333333333332
12,CEN-TRAF,2021-10-18,17.583333333333332
12,CEN-TRAF,2021-10-19,58.833333333333336
12,CEN-TRAF,2021-10-20,20.5
12,CEN-TRAF,2021-10-21,69.20833333333333
12,CEN-TRAF,2021-10-22,107.45833333333333
12,CEN-TRAF,2021-10-23,31.083333333333332
12,CEN-TRAF,2021-10-24,27.333333333333332
12,CEN-TRAF,2021-10-25,25.708333333333332
12,CEN-TRAF,2021-10-26,24.333333333333332
12,CEN-TRAF,2021-10-27,26.333333333333332
12,CEN-TRAF,2021-10-28,43.333333333333336
12,CEN-TRAF,2021-10-29,35.041666666666664
12,CEN-TRAF,2021-10-30,35.083333333333336
12,CEN-TRAF,2021-10-31,17.791666666666668
12,CEN-TRAF,2021-11-01,20.291666666666668
12,CEN-TRAF,2021-11-02,24.041666666666668
12,CEN-TRAF,2021-11-03,29.25
12,CEN-TRAF,2021-11-04,23.291666666666668
12,CEN-TRAF,2021-11-05,25.625
12,CEN-TRAF,2021-11-06,25.541666666666668
12,CEN-TRAF,2021-11-07,22.75
12,CEN-TRAF,2021-11-08,27.625
12,CEN-TRAF,2021-11-09,28.166666666666668
12,CEN-TRAF,2021-11-10,32.625
12,CEN-TRAF,2021-11-11,36.875
12,CEN-TRAF,2021-11-12,28.75
12,CEN-TRAF,2021-11-13,24.5
12,CEN-TRAF,2021-11-14,29.0
12,CEN-TRAF,2021-11-15,29.25
12,CEN-TRAF,2021-11-16,35.041666666666664
12,CEN-TRAF,2021-11-17,27.416666666666668
12,CEN-TRAF,2021-11-18,25.25
12,CEN-TRAF,2021-11-19,24.047619047619047
12,CEN-TRAF,2021-11-20,100.91666666666667
12,CEN-TRAF,2021-11-21,26.9
12,CEN-TRAF,2021-11-22,33.458333333333336
12,CEN-TRAF,2021-11-23,35.958333333333336
12,CEN-TRAF,2021-11-24,29.916666666666668
12,CEN-TRAF,2021-11-25,116.26086956521739
12,CEN-TRAF,2021-11-26,32.541666666666664
12,CEN-TRAF,2021-11-27,24.416666666666668
